Timestamp;matlab_p
13580;5.076049E+000
13606;5.178815E+000
13632;5.140320E+000
13657;5.208302E+000
13682;5.108437E+000
13708;5.108421E+000
13733;5.194871E+000
13758;5.203131E+000
13784;5.203829E+000
13809;5.207663E+000
13834;5.082151E+000
13861;5.116901E+000
13886;5.144889E+000
13913;5.142621E+000
13938;5.185425E+000
13963;5.176198E+000
13989;5.223195E+000
14014;5.144757E+000
14039;5.181914E+000
14064;5.134593E+000
14089;5.134182E+000
14115;5.227138E+000
14140;5.198169E+000
14165;5.187674E+000
14192;5.093994E+000
14217;5.160468E+000
14242;5.181252E+000
14268;5.152602E+000
14294;5.195376E+000
14320;5.157999E+000
14345;5.215035E+000
14371;5.136373E+000
14396;5.186093E+000
14422;5.130204E+000
14447;5.170410E+000
14473;5.124272E+000
14498;5.132316E+000
14525;5.186062E+000
14550;5.174582E+000
14576;5.150362E+000
14601;5.178908E+000
14627;5.106910E+000
14652;5.168226E+000
14678;5.227112E+000
14704;5.211504E+000
14730;5.178051E+000
14755;5.141974E+000
14781;5.187820E+000
14807;5.189525E+000
14832;5.154633E+000
14858;5.163832E+000
14883;5.149597E+000
14908;5.237906E+000
14934;5.179563E+000
14959;5.204021E+000
14984;5.205199E+000
15010;5.205199E+000
15035;5.207196E+000
15061;5.124918E+000
15087;5.090202E+000
15113;5.132842E+000
15138;5.181527E+000
15165;5.208496E+000
15190;5.168819E+000
15215;5.161298E+000
15241;5.209411E+000
15266;5.160762E+000
15291;5.230448E+000
15317;5.139712E+000
15343;5.158506E+000
15369;5.179909E+000
15394;5.199679E+000
15419;5.079698E+000
15445;5.144862E+000
15471;5.091263E+000
15497;5.179522E+000
15523;5.127295E+000
15548;5.149712E+000
15574;5.113008E+000
15600;5.157922E+000
15625;5.188828E+000
15650;5.141735E+000
15675;5.169545E+000
15701;5.178729E+000
15726;5.133701E+000
15751;5.210272E+000
15776;5.094145E+000
15801;5.148409E+000
15827;5.156788E+000
15853;5.098994E+000
15878;5.106060E+000
15903;5.145795E+000
15929;5.150785E+000
15955;5.112963E+000
15980;5.176852E+000
16006;5.190808E+000
16031;5.127155E+000
16057;5.133467E+000
16083;5.167353E+000
16108;5.108061E+000
16133;5.176102E+000
16159;5.202907E+000
16184;5.103948E+000
16210;5.175243E+000
16235;5.116561E+000
16260;5.216527E+000
16286;5.137113E+000
16312;5.079071E+000
16337;5.146152E+000
16362;5.185919E+000
16387;5.111043E+000
16413;5.151396E+000
16438;5.130929E+000
16464;5.227740E+000
16489;5.223121E+000
16514;5.213162E+000
16540;5.139553E+000
16566;5.157772E+000
16591;5.170712E+000
16616;5.141994E+000
16642;5.128865E+000
16667;5.158495E+000
16692;5.212433E+000
16719;5.131765E+000
16745;5.149320E+000
16771;5.123277E+000
16797;5.158653E+000
16822;5.170854E+000
16847;5.127921E+000
16873;5.151132E+000
16898;5.168111E+000
16923;5.185700E+000
16949;5.232715E+000
16974;5.133493E+000
17000;5.145146E+000
17026;5.195455E+000
17051;5.102468E+000
17076;5.102468E+000
17101;5.199212E+000
17127;5.151738E+000
17153;5.149778E+000
17178;5.095103E+000
17204;5.145745E+000
17230;5.140193E+000
17255;5.251299E+000
17280;5.073338E+000
17305;5.121054E+000
17330;5.076661E+000
17356;5.159783E+000
17381;5.198980E+000
17407;5.163940E+000
17433;5.074537E+000
17459;5.131241E+000
17485;5.119214E+000
17510;5.153749E+000
17536;5.197587E+000
17561;5.195454E+000
17587;5.134044E+000
17612;5.153076E+000
17638;5.173323E+000
17664;5.179040E+000
17690;5.107438E+000
17715;5.185730E+000
17740;5.176685E+000
17766;5.170766E+000
17791;5.165849E+000
17818;5.142811E+000
17843;5.246744E+000
17868;5.119325E+000
17894;5.241998E+000
17920;5.191591E+000
17946;5.188379E+000
17972;5.135929E+000
17997;5.179884E+000
18023;5.057786E+000
18048;5.079289E+000
18073;5.102720E+000
18098;5.127854E+000
18124;5.133813E+000
18149;5.235751E+000
18175;5.158252E+000
18201;5.153956E+000
18227;5.117714E+000
18253;5.180784E+000
18278;5.125945E+000
18303;5.141649E+000
18329;5.171437E+000
18354;5.183696E+000
18380;5.161740E+000
18406;5.146844E+000
18431;5.187156E+000
18456;5.126565E+000
18482;5.112577E+000
18508;5.115243E+000
18534;5.118069E+000
18560;5.178804E+000
18585;5.172225E+000
18611;5.149887E+000
18637;5.194563E+000
18662;5.202387E+000
18688;5.132294E+000
18714;5.209662E+000
18740;5.200426E+000
18766;5.220626E+000
18791;5.182643E+000
18816;5.192154E+000
