Timestamp;power_now;chassis_power
4475;4.356842E+001;3.540772E+001
4502;4.398466E+001;4.194045E+001
4528;3.591653E+001;4.595964E+001
4555;2.471292E+001;4.070715E+001
4582;1.870132E+001;2.376602E+001
4608;1.689926E+001;1.911976E+001
4634;1.179748E+001;1.748503E+001
4661;4.701307E+000;9.739531E+000
4688;1.259941E+000;3.963686E+000
4714;1.982444E+000;6.208791E-001
4740;2.731869E+000;4.165469E-001
4767;3.435322E+000;1.916298E+000
4794;4.022468E+000;1.916298E+000
4821;4.551761E+000;2.830366E+000
4847;4.970863E+000;3.621463E+000
4874;4.937721E+000;3.724596E+000
4900;5.153463E+000;3.759544E+000
4926;5.596755E+000;4.234494E+000
4952;1.017411E+001;6.327737E+000
4979;1.676147E+001;1.213356E+001
5006;2.295056E+001;1.654706E+001
5033;3.204570E+001;2.655767E+001
5060;4.938382E+001;3.651774E+001
5087;6.772027E+001;5.115620E+001
5114;7.767612E+001;7.896104E+001
5141;8.369263E+001;8.447886E+001
5167;8.667929E+001;8.857113E+001
5193;7.711484E+001;8.991252E+001
5219;6.641411E+001;7.809887E+001
5245;4.553381E+001;6.918334E+001
5272;2.004331E+001;5.284063E+001
41207;5.993039E+000;4.776376E+000
41233;5.992675E+000;4.883837E+000
41337;5.993951E+000;4.895707E+000
41363;5.993697E+000;4.853782E+000
41390;5.993179E+000;4.832160E+000
41416;5.993293E+000;4.772227E+000
41442;5.993409E+000;4.852713E+000
41468;5.993032E+000;4.858927E+000
41494;5.994146E+000;4.831865E+000
41520;5.993611E+000;4.802768E+000
41546;5.994123E+000;4.803104E+000
41572;5.994265E+000;4.783617E+000
41597;5.993372E+000;4.857833E+000
41623;5.994000E+000;4.854634E+000
41649;5.993751E+000;4.843134E+000
41675;5.993937E+000;4.875413E+000
41701;5.993792E+000;4.840584E+000
41728;5.993022E+000;4.789299E+000
41754;5.994591E+000;4.852720E+000
41781;5.993093E+000;4.839151E+000
41807;5.994020E+000;4.843916E+000
41833;5.995976E+000;4.880487E+000
41859;5.994309E+000;4.824891E+000
41886;5.993138E+000;4.820086E+000
41912;5.993452E+000;4.814871E+000
41938;5.993697E+000;4.815727E+000
41964;5.993335E+000;4.838499E+000
41990;5.993063E+000;4.757289E+000
42017;5.997756E+000;4.753496E+000
42043;5.994678E+000;4.766541E+000
42069;5.993559E+000;4.837245E+000
42095;5.992881E+000;4.835063E+000
42121;5.993373E+000;4.827123E+000
42148;5.992759E+000;4.790872E+000
42174;5.993658E+000;4.889804E+000
42199;5.992945E+000;4.783276E+000
42225;5.993437E+000;4.800499E+000
42252;5.992987E+000;4.870856E+000
42278;5.993740E+000;4.837092E+000
42305;5.993770E+000;4.821630E+000
42330;5.994101E+000;4.806024E+000
42356;5.993329E+000;4.801382E+000
42383;5.993814E+000;4.810145E+000
42409;5.993415E+000;4.810964E+000
42436;5.994720E+000;4.850508E+000
42462;5.994530E+000;4.885872E+000
42488;5.993187E+000;4.939022E+000
42514;5.993089E+000;4.848936E+000
42541;5.999215E+000;4.821950E+000
42567;5.993366E+000;4.820873E+000
42594;5.993867E+000;4.845186E+000
42619;5.993417E+000;4.890099E+000
42645;5.994780E+000;4.850512E+000
42671;5.993709E+000;4.788729E+000
42697;5.993587E+000;4.799911E+000
42723;5.993791E+000;4.870077E+000
42749;5.994239E+000;4.786749E+000
42775;5.992999E+000;4.826037E+000
42802;5.993079E+000;4.776573E+000
42828;5.993334E+000;4.855952E+000
42855;5.993717E+000;4.855952E+000
42881;5.993379E+000;4.876273E+000
42907;5.994574E+000;4.868663E+000
42934;5.992734E+000;4.897232E+000
42960;5.992522E+000;4.897232E+000
42987;5.993421E+000;4.881769E+000
43014;5.993877E+000;4.865107E+000
43040;5.999260E+000;4.833606E+000
43067;5.993681E+000;4.824533E+000
43094;5.993804E+000;4.824533E+000
43121;5.996589E+000;4.814890E+000
43148;5.992967E+000;4.916177E+000
43174;5.992607E+000;4.814474E+000
43200;5.993132E+000;4.891395E+000
43227;5.994002E+000;4.828765E+000
43252;5.992936E+000;4.820037E+000
43279;5.993017E+000;4.851974E+000
43305;5.993073E+000;4.845498E+000
43331;5.993373E+000;4.853301E+000
43358;5.993174E+000;4.884934E+000
43385;5.993389E+000;4.866242E+000
43411;5.997053E+000;4.821928E+000
43437;5.993240E+000;4.785549E+000
43464;5.994146E+000;4.810659E+000
43490;5.994668E+000;4.807433E+000
43516;5.992805E+000;4.805742E+000
43542;5.992739E+000;4.903460E+000
43568;5.993166E+000;4.823929E+000
43594;5.993561E+000;4.838003E+000
43621;5.993891E+000;4.781093E+000
43648;5.993396E+000;4.880098E+000
43674;5.995162E+000;4.847692E+000
43700;5.993604E+000;4.759186E+000
43727;5.992831E+000;4.814097E+000
43753;5.993819E+000;4.844620E+000
43779;5.994617E+000;4.819191E+000
43806;5.992967E+000;4.833596E+000
43832;5.993045E+000;4.864526E+000
43859;5.994593E+000;4.802845E+000
43886;5.992903E+000;4.814152E+000
43913;5.993781E+000;4.805890E+000
43939;6.001410E+000;4.858570E+000
43965;5.995022E+000;4.816961E+000
43991;5.993102E+000;4.860245E+000
44018;5.993571E+000;4.814433E+000
44044;5.998303E+000;4.774029E+000
44070;5.993619E+000;4.839774E+000
44096;5.993476E+000;4.811735E+000
44123;5.993109E+000;4.784038E+000
44150;5.995685E+000;4.822031E+000
44177;5.994553E+000;4.753468E+000
44203;5.993368E+000;4.879937E+000
44230;6.000404E+000;4.838535E+000
44256;5.993700E+000;4.840886E+000
44282;5.993303E+000;4.771669E+000
44309;5.994005E+000;4.854668E+000
44336;5.994568E+000;4.817768E+000
44362;5.992841E+000;4.825112E+000
44387;5.993231E+000;4.857199E+000
44413;5.993050E+000;4.833395E+000
44439;5.993255E+000;4.840518E+000
44466;5.994074E+000;4.839999E+000
44492;5.994576E+000;4.775363E+000
44518;5.995631E+000;4.776272E+000
44544;5.993805E+000;4.805377E+000
44571;5.995262E+000;4.806201E+000
44598;5.993670E+000;4.864424E+000
44625;5.994130E+000;4.852314E+000
44651;5.992923E+000;4.849975E+000
44677;5.993146E+000;4.851697E+000
44703;5.995060E+000;4.793260E+000
44730;5.994734E+000;4.851112E+000
44756;5.993643E+000;4.894369E+000
44782;5.993494E+000;4.876605E+000
44808;5.993251E+000;4.820191E+000
44835;5.993620E+000;4.831643E+000
44861;5.993738E+000;4.761811E+000
44888;5.992861E+000;4.817390E+000
44915;5.994625E+000;4.844447E+000
44941;5.993059E+000;4.850194E+000
44967;5.993553E+000;4.758978E+000
44994;5.993352E+000;4.835158E+000
45020;5.994730E+000;4.842254E+000
45046;5.993240E+000;4.822770E+000
45072;5.994285E+000;4.877907E+000
45099;5.993492E+000;4.817258E+000
45125;5.996842E+000;4.856448E+000
45152;5.994583E+000;4.767277E+000
45178;5.993418E+000;4.807689E+000
45204;5.993291E+000;4.856776E+000
45230;5.993276E+000;4.861701E+000
45257;5.994277E+000;4.852038E+000
45284;5.993084E+000;4.852038E+000
45311;5.993190E+000;4.816559E+000
45337;5.994104E+000;4.879347E+000
45364;5.994301E+000;4.904351E+000
45391;5.993083E+000;4.841131E+000
45418;5.993144E+000;4.878518E+000
45444;5.992812E+000;4.801593E+000
45471;5.993045E+000;4.822408E+000
45498;5.994187E+000;4.864579E+000
45524;5.995837E+000;4.792076E+000
45550;5.997316E+000;4.822069E+000
45577;5.992973E+000;4.882698E+000
45630;5.995492E+000;4.775543E+000
45656;5.992586E+000;4.824297E+000
45682;5.994094E+000;4.879670E+000
45709;6.000335E+000;4.756775E+000
45735;5.997163E+000;4.820026E+000
45761;5.993648E+000;4.820026E+000
45787;5.993495E+000;4.836998E+000
45812;5.992598E+000;4.787143E+000
45838;5.993240E+000;4.828073E+000
45864;5.993928E+000;4.898643E+000
45890;5.993566E+000;4.821301E+000
45917;5.997045E+000;4.793206E+000
45943;5.993750E+000;4.801281E+000
45970;5.992977E+000;4.818553E+000
45996;5.994422E+000;4.913537E+000
46022;5.994196E+000;4.772210E+000
46047;5.993245E+000;4.856552E+000
46073;5.993234E+000;4.811397E+000
46099;5.995279E+000;4.846068E+000
46126;5.993917E+000;4.813548E+000
46152;5.993456E+000;4.816945E+000
