Timestamp;matlab_p;matlab_x;matlab_y;matlab_z
30886;2.128759E+001;5.127940E+006;2.059344E+007;1.247689E+006
30913;2.141230E+001;4.838211E+006;1.970472E+007;1.290496E+006
30940;2.043038E+001;4.750837E+006;1.938641E+007;1.164241E+006
30968;2.063984E+001;4.700484E+006;1.316238E+007;1.550025E+006
30995;2.012717E+001;3.898532E+006;9.566649E+006;2.010724E+006
31024;1.648075E+001;2.097490E+006;1.836025E+006;3.038049E+006
31052;1.344103E+001;5.003217E+006;2.622464E+007;1.038361E+006
31079;1.900805E+001;5.210656E+006;2.208060E+007;1.098304E+006
31107;2.108706E+001;4.810605E+006;2.040329E+007;1.179396E+006
31134;2.069381E+001;5.077456E+006;1.888772E+007;1.313316E+006
31161;2.058782E+001;5.120490E+006;2.041232E+007;1.218816E+006
31188;2.083847E+001;4.675691E+006;1.739724E+007;1.334025E+006
31216;2.045362E+001;5.117175E+006;1.905322E+007;1.179396E+006
31243;2.120961E+001;4.669560E+006;2.057530E+007;1.238769E+006
31271;2.070762E+001;4.992118E+006;2.175290E+007;1.123600E+006
31298;2.103144E+001;4.906176E+006;2.158532E+007;1.075369E+006
31325;2.160445E+001;5.166150E+006;2.550250E+007;1.038361E+006
31352;2.123782E+001;5.120332E+006;2.360016E+007;1.123600E+006
31380;2.149336E+001;5.321970E+006;2.306881E+007;1.038361E+006
31407;2.126373E+001;4.903600E+006;2.562384E+007;8.930250E+005
31435;2.224161E+001;4.996875E+006;2.660496E+007;9.741690E+005
31462;2.189376E+001;5.328176E+006;3.473924E+007;7.603840E+005
31489;2.166777E+001;4.843540E+006;3.285582E+007;6.922240E+005
31516;2.230620E+001;4.780352E+006;2.809000E+007;8.427240E+005
31542;2.255965E+001;4.812325E+006;4.128062E+007;5.670090E+005
31569;2.306677E+001;4.792487E+006;4.418261E+007;5.760810E+005
31597;2.284557E+001;4.598048E+006;3.866352E+007;5.387560E+005
31623;2.332483E+001;4.363794E+006;4.411616E+007;4.251040E+005
31650;2.339060E+001;4.418262E+006;4.761000E+007;3.672360E+005
31678;2.343175E+001;4.632450E+006;4.455562E+007;4.942090E+005
31706;2.337457E+001;4.737960E+006;4.121640E+007;5.112250E+005
31732;2.319576E+001;3.228135E+006;5.507124E+007;2.043040E+005
31759;2.281390E+001;2.846444E+006;6.652034E+007;1.413760E+005
31786;2.316888E+001;2.680724E+006;7.433888E+007;8.820900E+004
31813;2.363985E+001;1.764980E+006;8.109002E+007;3.841600E+004
31840;2.267482E+001;1.694800E+006;7.940592E+007;4.000000E+004
31867;2.233876E+001;1.812400E+006;8.346650E+007;4.000000E+004
31894;2.260330E+001;1.712244E+006;8.008460E+007;3.610000E+004
31922;2.238616E+001;1.887819E+006;7.855277E+007;4.536900E+004
31948;2.270042E+001;2.081968E+006;8.053267E+007;5.198400E+004
31976;2.339665E+001;2.391696E+006;7.731685E+007;7.128900E+004
32004;2.280038E+001;1.982698E+006;7.696553E+007;4.452100E+004
32031;2.270339E+001;1.876820E+006;8.064040E+007;4.080400E+004
32058;2.262790E+001;2.151360E+006;7.828710E+007;5.953600E+004
32085;2.260655E+001;1.846435E+006;8.109002E+007;4.202500E+004
32111;2.321962E+001;1.610642E+006;8.082010E+007;3.132900E+004
32139;2.243211E+001;1.595655E+006;7.972704E+007;3.534400E+004
32166;2.239820E+001;1.850535E+006;8.170352E+007;3.841600E+004
32193;2.241678E+001;1.201663E+006;8.414393E+007;1.716100E+004
32220;2.212860E+001;1.273314E+006;8.040709E+007;1.904400E+004
